freq (Hz),Vline (V),Vout (V),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)"
2.851,1.00E-02,1.31E-05,-57.67
2.858,1.00E-02,1.31E-05,-57.67
2.864,1.00E-02,1.31E-05,-57.67
2.871,1.00E-02,1.31E-05,-57.67
2.877,1.00E-02,1.31E-05,-57.67
2.884,1.00E-02,1.31E-05,-57.67
2.891,1.00E-02,1.31E-05,-57.67
2.897,1.00E-02,1.31E-05,-57.67
2.904,1.00E-02,1.31E-05,-57.67
2.911,1.00E-02,1.31E-05,-57.67
2.917,1.00E-02,1.31E-05,-57.67
2.924,1.00E-02,1.31E-05,-57.67
2.931,1.00E-02,1.31E-05,-57.67
2.938,1.00E-02,1.31E-05,-57.67
2.944,1.00E-02,1.31E-05,-57.67
2.951,1.00E-02,1.31E-05,-57.67
2.958,1.00E-02,1.31E-05,-57.67
2.965,1.00E-02,1.31E-05,-57.67
2.972,1.00E-02,1.31E-05,-57.67
2.979,1.00E-02,1.31E-05,-57.67
2.985,1.00E-02,1.31E-05,-57.67
2.992,1.00E-02,1.31E-05,-57.67
2.999,1.00E-02,1.31E-05,-57.67
3.006,1.00E-02,1.31E-05,-57.67
3.013,1.00E-02,1.31E-05,-57.67
3.02,1.00E-02,1.31E-05,-57.67
3.027,1.00E-02,1.31E-05,-57.67
3.034,1.00E-02,1.31E-05,-57.67
3.041,1.00E-02,1.31E-05,-57.67
3.048,1.00E-02,1.31E-05,-57.67
3.055,1.00E-02,1.31E-05,-57.67
3.062,1.00E-02,1.31E-05,-57.67
3.069,1.00E-02,1.31E-05,-57.67
3.076,1.00E-02,1.31E-05,-57.67
3.083,1.00E-02,1.31E-05,-57.67
3.09,1.00E-02,1.31E-05,-57.67
3.097,1.00E-02,1.31E-05,-57.67
3.105,1.00E-02,1.31E-05,-57.67
3.112,1.00E-02,1.31E-05,-57.67
3.119,1.00E-02,1.31E-05,-57.67
3.126,1.00E-02,1.31E-05,-57.67
3.133,1.00E-02,1.31E-05,-57.67
3.141,1.00E-02,1.31E-05,-57.67
3.148,1.00E-02,1.31E-05,-57.67
3.155,1.00E-02,1.31E-05,-57.67
3.162,1.00E-02,1.31E-05,-57.67
3.17,1.00E-02,1.31E-05,-57.67
3.177,1.00E-02,1.31E-05,-57.67
3.184,1.00E-02,1.31E-05,-57.67
3.192,1.00E-02,1.31E-05,-57.67
3.199,1.00E-02,1.31E-05,-57.67
3.206,1.00E-02,1.31E-05,-57.67
3.214,1.00E-02,1.31E-05,-57.67
3.221,1.00E-02,1.31E-05,-57.67
3.228,1.00E-02,1.31E-05,-57.67
3.236,1.00E-02,1.31E-05,-57.67
3.243,1.00E-02,1.31E-05,-57.67
3.251,1.00E-02,1.31E-05,-57.67
3.258,1.00E-02,1.31E-05,-57.67
3.266,1.00E-02,1.31E-05,-57.67
3.273,1.00E-02,1.31E-05,-57.67
3.281,1.00E-02,1.31E-05,-57.67
3.289,1.00E-02,1.31E-05,-57.67
3.296,1.00E-02,1.31E-05,-57.67
3.304,1.00E-02,1.31E-05,-57.67
3.311,1.00E-02,1.31E-05,-57.67
3.319,1.00E-02,1.31E-05,-57.67
3.327,1.00E-02,1.31E-05,-57.67
3.334,1.00E-02,1.31E-05,-57.67
3.342,1.00E-02,1.31E-05,-57.67
3.35,1.00E-02,1.31E-05,-57.67
3.357,1.00E-02,1.31E-05,-57.67
3.365,1.00E-02,1.31E-05,-57.67
3.373,1.00E-02,1.31E-05,-57.67
3.381,1.00E-02,1.31E-05,-57.67
3.388,1.00E-02,1.31E-05,-57.67
3.396,1.00E-02,1.31E-05,-57.67
3.404,1.00E-02,1.31E-05,-57.67
3.412,1.00E-02,1.31E-05,-57.67
3.42,1.00E-02,1.31E-05,-57.67
3.428,1.00E-02,1.31E-05,-57.67
3.436,1.00E-02,1.31E-05,-57.67
3.443,1.00E-02,1.31E-05,-57.67
3.451,1.00E-02,1.31E-05,-57.67
3.459,1.00E-02,1.31E-05,-57.67
3.467,1.00E-02,1.31E-05,-57.67
3.475,1.00E-02,1.31E-05,-57.67
3.483,1.00E-02,1.31E-05,-57.67
3.491,1.00E-02,1.31E-05,-57.67
3.499,1.00E-02,1.31E-05,-57.67
3.508,1.00E-02,1.31E-05,-57.67
3.516,1.00E-02,1.31E-05,-57.67
3.524,1.00E-02,1.31E-05,-57.67
3.532,1.00E-02,1.31E-05,-57.67
3.54,1.00E-02,1.31E-05,-57.67
3.548,1.00E-02,1.31E-05,-57.67
3.556,1.00E-02,1.31E-05,-57.67
3.565,1.00E-02,1.31E-05,-57.67
3.573,1.00E-02,1.31E-05,-57.67
