time (s),/Vline (V),/Vout (V)
339.2E-3,1.395,998.9E-3
340.0E-3,1.400,998.8E-3
340.8E-3,1.405,999.0E-3
341.7E-3,1.409,998.8E-3
342.5E-3,1.410,999.0E-3
343.3E-3,1.409,998.8E-3
344.2E-3,1.405,999.0E-3
345.0E-3,1.400,998.8E-3
345.8E-3,1.395,999.0E-3
346.7E-3,1.391,998.8E-3
347.5E-3,1.390,998.9E-3
348.3E-3,1.391,998.8E-3
349.2E-3,1.395,999.0E-3
350.0E-3,1.400,998.8E-3
350.8E-3,1.405,999.0E-3
351.7E-3,1.409,998.8E-3
352.5E-3,1.410,999.0E-3
353.3E-3,1.409,998.8E-3
354.2E-3,1.405,999.0E-3
355.0E-3,1.400,998.8E-3
355.8E-3,1.395,999.0E-3
356.7E-3,1.391,998.8E-3
357.5E-3,1.390,999.0E-3
358.3E-3,1.391,998.8E-3
359.2E-3,1.395,999.0E-3
360.0E-3,1.400,998.8E-3
360.8E-3,1.405,999.0E-3
361.7E-3,1.409,998.8E-3
362.5E-3,1.410,999.0E-3
363.3E-3,1.409,998.8E-3
364.2E-3,1.405,999.0E-3
365.0E-3,1.400,998.8E-3
365.8E-3,1.395,999.0E-3
366.7E-3,1.391,998.8E-3
367.5E-3,1.390,999.0E-3
368.3E-3,1.391,998.8E-3
369.2E-3,1.395,999.0E-3
370.0E-3,1.400,998.8E-3
370.8E-3,1.405,999.0E-3
371.7E-3,1.409,998.8E-3
372.5E-3,1.410,999.0E-3
373.3E-3,1.409,998.8E-3
374.2E-3,1.405,999.0E-3
375.0E-3,1.400,998.8E-3
375.8E-3,1.395,999.0E-3
376.7E-3,1.391,998.8E-3
377.5E-3,1.390,999.0E-3
378.3E-3,1.391,998.8E-3
379.2E-3,1.395,999.0E-3
380.0E-3,1.400,998.8E-3
380.8E-3,1.405,999.0E-3
381.7E-3,1.409,998.8E-3
382.5E-3,1.410,999.0E-3
383.3E-3,1.409,998.8E-3
384.2E-3,1.405,999.0E-3
385.0E-3,1.400,998.8E-3
385.8E-3,1.395,999.0E-3
386.7E-3,1.391,998.8E-3
387.5E-3,1.390,999.0E-3
388.3E-3,1.391,998.8E-3
389.2E-3,1.395,999.0E-3
390.0E-3,1.400,998.8E-3
390.8E-3,1.405,999.0E-3
391.7E-3,1.409,998.8E-3
392.5E-3,1.410,999.0E-3
393.3E-3,1.409,998.8E-3
394.2E-3,1.405,999.0E-3
395.0E-3,1.400,998.8E-3
395.8E-3,1.395,999.0E-3
396.7E-3,1.391,998.8E-3
397.5E-3,1.390,999.0E-3
398.3E-3,1.391,998.8E-3
399.2E-3,1.395,999.0E-3
400.0E-3,1.400,998.8E-3
400.8E-3,1.405,999.0E-3
401.7E-3,1.409,998.8E-3
402.5E-3,1.410,999.0E-3
403.3E-3,1.409,998.8E-3
404.2E-3,1.405,999.0E-3
405.0E-3,1.400,998.8E-3
405.8E-3,1.395,999.0E-3
406.7E-3,1.391,998.8E-3
407.5E-3,1.390,999.0E-3
408.3E-3,1.391,998.8E-3
409.2E-3,1.395,999.0E-3
410.0E-3,1.400,998.8E-3
410.8E-3,1.405,999.0E-3
411.7E-3,1.409,998.8E-3
412.5E-3,1.410,999.0E-3
413.3E-3,1.409,998.8E-3
414.2E-3,1.405,999.0E-3
415.0E-3,1.400,998.8E-3
415.8E-3,1.395,999.0E-3
416.7E-3,1.391,998.8E-3
417.5E-3,1.390,999.0E-3
418.3E-3,1.391,998.8E-3
419.2E-3,1.395,999.0E-3
420.0E-3,1.400,998.8E-3
420.8E-3,1.405,999.0E-3
421.7E-3,1.409,998.8E-3
422.5E-3,1.410,999.0E-3
423.3E-3,1.409,998.8E-3
424.2E-3,1.405,999.0E-3
425.0E-3,1.400,998.8E-3
425.8E-3,1.395,999.0E-3
426.7E-3,1.391,998.8E-3
427.5E-3,1.390,999.0E-3
428.3E-3,1.391,998.8E-3
429.2E-3,1.395,999.0E-3
430.0E-3,1.400,998.8E-3
430.8E-3,1.405,999.0E-3
431.7E-3,1.409,998.8E-3
432.5E-3,1.410,999.0E-3
433.3E-3,1.409,998.8E-3
434.2E-3,1.405,999.0E-3
435.0E-3,1.400,998.8E-3
435.8E-3,1.395,999.0E-3
436.7E-3,1.391,998.8E-3
437.5E-3,1.390,999.0E-3
