freq (Hz),dB20((VF("/Vout") / VF("/Vline"))) (dB),Vout (V),Vline (V)
1.746,-93.14,220.4E-9,10.00E-3
1.750,-93.14,220.4E-9,10.00E-3
1.754,-93.14,220.4E-9,10.00E-3
1.758,-93.14,220.4E-9,10.00E-3
1.762,-93.14,220.4E-9,10.00E-3
1.766,-93.14,220.4E-9,10.00E-3
1.770,-93.14,220.4E-9,10.00E-3
1.774,-93.14,220.4E-9,10.00E-3
1.778,-93.14,220.4E-9,10.00E-3
1.782,-93.14,220.4E-9,10.00E-3
1.786,-93.14,220.4E-9,10.00E-3
1.791,-93.14,220.4E-9,10.00E-3
1.795,-93.14,220.4E-9,10.00E-3
1.799,-93.14,220.4E-9,10.00E-3
1.803,-93.14,220.4E-9,10.00E-3
1.807,-93.14,220.4E-9,10.00E-3
1.811,-93.14,220.4E-9,10.00E-3
1.816,-93.14,220.4E-9,10.00E-3
1.820,-93.14,220.4E-9,10.00E-3
1.824,-93.14,220.4E-9,10.00E-3
1.828,-93.14,220.4E-9,10.00E-3
1.832,-93.14,220.4E-9,10.00E-3
1.837,-93.14,220.4E-9,10.00E-3
1.841,-93.14,220.4E-9,10.00E-3
1.845,-93.14,220.4E-9,10.00E-3
1.849,-93.14,220.4E-9,10.00E-3
1.854,-93.14,220.4E-9,10.00E-3
1.858,-93.14,220.4E-9,10.00E-3
1.862,-93.14,220.4E-9,10.00E-3
1.866,-93.14,220.4E-9,10.00E-3
1.871,-93.14,220.4E-9,10.00E-3
1.875,-93.14,220.4E-9,10.00E-3
1.879,-93.14,220.4E-9,10.00E-3
1.884,-93.14,220.4E-9,10.00E-3
1.888,-93.14,220.4E-9,10.00E-3
1.892,-93.14,220.4E-9,10.00E-3
1.897,-93.14,220.4E-9,10.00E-3
1.901,-93.14,220.4E-9,10.00E-3
1.905,-93.14,220.4E-9,10.00E-3
1.910,-93.14,220.4E-9,10.00E-3
1.914,-93.14,220.4E-9,10.00E-3
1.919,-93.14,220.4E-9,10.00E-3
1.923,-93.14,220.4E-9,10.00E-3
1.928,-93.14,220.4E-9,10.00E-3
1.932,-93.14,220.4E-9,10.00E-3
1.936,-93.14,220.4E-9,10.00E-3
1.941,-93.14,220.4E-9,10.00E-3
1.945,-93.14,220.4E-9,10.00E-3
1.950,-93.14,220.4E-9,10.00E-3
1.954,-93.14,220.4E-9,10.00E-3
1.959,-93.14,220.4E-9,10.00E-3
1.963,-93.14,220.4E-9,10.00E-3
1.968,-93.14,220.4E-9,10.00E-3
1.972,-93.14,220.4E-9,10.00E-3
1.977,-93.14,220.4E-9,10.00E-3
1.982,-93.14,220.4E-9,10.00E-3
1.986,-93.14,220.4E-9,10.00E-3
1.991,-93.14,220.4E-9,10.00E-3
1.995,-93.14,220.4E-9,10.00E-3
2.000,-93.14,220.4E-9,10.00E-3
2.004,-93.14,220.4E-9,10.00E-3
2.009,-93.14,220.4E-9,10.00E-3
2.014,-93.14,220.4E-9,10.00E-3
2.018,-93.14,220.4E-9,10.00E-3
