freq (Hz),"dB20((VF(""/Vout"") / VF(""/Vline""))) (dB)",Vline (V),Vout (V)
1.799,-27.97,1.00E-02,4.00E-04
1.803,-27.97,1.00E-02,4.00E-04
1.807,-27.97,1.00E-02,4.00E-04
1.811,-27.97,1.00E-02,4.00E-04
1.816,-27.97,1.00E-02,4.00E-04
1.82,-27.97,1.00E-02,4.00E-04
1.824,-27.97,1.00E-02,4.00E-04
1.828,-27.97,1.00E-02,4.00E-04
1.832,-27.97,1.00E-02,4.00E-04
1.837,-27.97,1.00E-02,4.00E-04
1.841,-27.97,1.00E-02,4.00E-04
1.845,-27.97,1.00E-02,4.00E-04
1.849,-27.97,1.00E-02,4.00E-04
1.854,-27.97,1.00E-02,4.00E-04
1.858,-27.97,1.00E-02,4.00E-04
1.862,-27.97,1.00E-02,4.00E-04
1.866,-27.97,1.00E-02,4.00E-04
1.871,-27.97,1.00E-02,4.00E-04
1.875,-27.97,1.00E-02,4.00E-04
1.879,-27.97,1.00E-02,4.00E-04
1.884,-27.97,1.00E-02,4.00E-04
1.888,-27.97,1.00E-02,4.00E-04
1.892,-27.97,1.00E-02,4.00E-04
1.897,-27.97,1.00E-02,4.00E-04
1.901,-27.97,1.00E-02,4.00E-04
1.905,-27.97,1.00E-02,4.00E-04
1.91,-27.97,1.00E-02,4.00E-04
1.914,-27.97,1.00E-02,4.00E-04
1.919,-27.97,1.00E-02,4.00E-04
1.923,-27.97,1.00E-02,4.00E-04
1.928,-27.97,1.00E-02,4.00E-04
1.932,-27.97,1.00E-02,4.00E-04
1.936,-27.97,1.00E-02,4.00E-04
1.941,-27.97,1.00E-02,4.00E-04
1.945,-27.97,1.00E-02,4.00E-04
1.95,-27.97,1.00E-02,4.00E-04
1.954,-27.97,1.00E-02,4.00E-04
1.959,-27.97,1.00E-02,4.00E-04
1.963,-27.97,1.00E-02,4.00E-04
1.968,-27.97,1.00E-02,4.00E-04
1.972,-27.97,1.00E-02,4.00E-04
1.977,-27.97,1.00E-02,4.00E-04
1.982,-27.97,1.00E-02,4.00E-04
1.986,-27.97,1.00E-02,4.00E-04
1.991,-27.97,1.00E-02,4.00E-04
1.995,-27.97,1.00E-02,4.00E-04
2,-27.97,1.00E-02,4.00E-04
2.004,-27.97,1.00E-02,4.00E-04
2.009,-27.97,1.00E-02,4.00E-04
2.014,-27.97,1.00E-02,4.00E-04
2.018,-27.97,1.00E-02,4.00E-04
2.023,-27.97,1.00E-02,4.00E-04
2.028,-27.97,1.00E-02,4.00E-04
2.032,-27.97,1.00E-02,4.00E-04
2.037,-27.97,1.00E-02,4.00E-04
2.042,-27.97,1.00E-02,4.00E-04
2.046,-27.97,1.00E-02,4.00E-04
2.051,-27.97,1.00E-02,4.00E-04
2.056,-27.97,1.00E-02,4.00E-04
2.061,-27.97,1.00E-02,4.00E-04
2.065,-27.97,1.00E-02,4.00E-04
2.07,-27.97,1.00E-02,4.00E-04
2.075,-27.97,1.00E-02,4.00E-04
2.08,-27.97,1.00E-02,4.00E-04
2.084,-27.97,1.00E-02,4.00E-04
2.089,-27.97,1.00E-02,4.00E-04
2.094,-27.97,1.00E-02,4.00E-04
2.099,-27.97,1.00E-02,4.00E-04
2.104,-27.97,1.00E-02,4.00E-04
2.109,-27.97,1.00E-02,4.00E-04
2.113,-27.97,1.00E-02,4.00E-04
2.118,-27.97,1.00E-02,4.00E-04
2.123,-27.97,1.00E-02,4.00E-04
2.128,-27.97,1.00E-02,4.00E-04
2.133,-27.97,1.00E-02,4.00E-04
2.138,-27.97,1.00E-02,4.00E-04
2.143,-27.97,1.00E-02,4.00E-04
2.148,-27.97,1.00E-02,4.00E-04
2.153,-27.97,1.00E-02,4.00E-04
2.158,-27.97,1.00E-02,4.00E-04
2.163,-27.97,1.00E-02,4.00E-04
2.168,-27.97,1.00E-02,4.00E-04
2.173,-27.97,1.00E-02,4.00E-04
2.178,-27.97,1.00E-02,4.00E-04
2.183,-27.97,1.00E-02,4.00E-04
2.188,-27.97,1.00E-02,4.00E-04
2.193,-27.97,1.00E-02,4.00E-04
2.198,-27.97,1.00E-02,4.00E-04
2.203,-27.97,1.00E-02,4.00E-04
2.208,-27.97,1.00E-02,4.00E-04
2.213,-27.97,1.00E-02,4.00E-04
2.218,-27.97,1.00E-02,4.00E-04
2.223,-27.97,1.00E-02,4.00E-04
2.228,-27.97,1.00E-02,4.00E-04
2.234,-27.97,1.00E-02,4.00E-04
2.239,-27.97,1.00E-02,4.00E-04
2.244,-27.97,1.00E-02,4.00E-04
2.249,-27.97,1.00E-02,4.00E-04
2.254,-27.97,1.00E-02,4.00E-04
2.259,-27.97,1.00E-02,4.00E-04
2.265,-27.97,1.00E-02,4.00E-04
2.27,-27.97,1.00E-02,4.00E-04
2.275,-27.97,1.00E-02,4.00E-04
2.28,-27.97,1.00E-02,4.00E-04
2.286,-27.97,1.00E-02,4.00E-04
2.291,-27.97,1.00E-02,4.00E-04
2.296,-27.97,1.00E-02,4.00E-04
2.301,-27.97,1.00E-02,4.00E-04
2.307,-27.97,1.00E-02,4.00E-04
2.312,-27.97,1.00E-02,4.00E-04
2.317,-27.97,1.00E-02,4.00E-04
2.323,-27.97,1.00E-02,4.00E-04
2.328,-27.97,1.00E-02,4.00E-04
2.333,-27.97,1.00E-02,4.00E-04
2.339,-27.97,1.00E-02,4.00E-04
